姓名,去向,省份
宿**,中央戏剧学院,北京
白**,北京电影学院,北京
怀**,中国传媒大学,北京
蒲**,北京舞蹈学院,北京
邰**,北京林业大学,北京
从**,北京中医药大学,北京
鄂**,北京协和医学院,北京
索**,首都医科大学,北京
咸**,北京科技大学,北京
籍**,北京化工大学,北京
赖**,北京邮电大学,北京
卓**,中国地质大学（北京）,北京
蔺**,中国矿业大学（北京）,北京
屠**,中国石油大学（北京）,北京
蒙**,中国农业大学,北京
池**,北京林业大学,北京
乔**,北京体育大学,北京
阴**,中央音乐学院,北京
鬱**,中央美术学院,北京
胥**,中央戏剧学院,北京
能**,北京电影学院,北京
苍**,中国传媒大学,北京
双**,北京舞蹈学院,北京
闻**,北京林业大学,北京
莘**,北京中医药大学,北京
党**,北京协和医学院,北京
翟**,首都医科大学,北京
谭**,北京科技大学,北京
贡**,北京化工大学,北京
劳**,北京邮电大学,北京
逄**,中国地质大学（北京）,北京
姬**,中国矿业大学（北京）,北京
申**,中国石油大学（北京）,北京
扶**,中国农业大学,北京
堵**,北京林业大学,北京
冉**,北京体育大学,北京
宰**,中央音乐学院,北京
郦**,中央美术学院,北京
雍**,中央戏剧学院,北京
却**,北京电影学院,北京
璩**,中国传媒大学,北京
桑**,北京舞蹈学院,北京
桂**,北京林业大学,北京
濮**,北京中医药大学,北京
牛**,北京协和医学院,北京
寿**,首都医科大学,北京
通**,北京科技大学,北京
边**,北京化工大学,北京
扈**,北京邮电大学,北京
燕**,中国地质大学（北京）,北京
冀**,中国矿业大学（北京）,北京
郏**,中国石油大学（北京）,北京
浦**,中国农业大学,北京
尚**,北京林业大学,北京
农**,北京体育大学,北京
温**,中央音乐学院,北京
别**,中央美术学院,北京
庄**,中央戏剧学院,北京
晏**,北京电影学院,北京
柴**,中国传媒大学,北京
瞿**,北京舞蹈学院,北京
阎**,北京林业大学,北京
充**,北京中医药大学,北京
慕**,北京协和医学院,北京
连**,首都医科大学,北京
茹**,北京科技大学,北京
习**,北京化工大学,北京
宦**,北京邮电大学,北京
艾**,中国地质大学（北京）,北京
鱼**,中国矿业大学（北京）,北京
容**,中国石油大学（北京）,北京
向**,中国农业大学,北京
古**,北京林业大学,北京
易**,北京体育大学,北京
慎**,中央音乐学院,北京
戈**,中央美术学院,北京
廖**,中央戏剧学院,北京
庾**,北京电影学院,北京
终**,中国传媒大学,北京
暨**,北京舞蹈学院,北京
居**,北京林业大学,北京
衡**,北京中医药大学,北京
步**,北京协和医学院,北京
都**,首都医科大学,北京
耿**,北京科技大学,北京
满**,北京化工大学,北京
弘**,北京邮电大学,北京
匡**,中国地质大学（北京）,北京
国**,中国矿业大学（北京）,北京
文**,中国石油大学（北京）,北京
寇**,中国农业大学,北京
广**,北京林业大学,北京
禄**,北京体育大学,北京
阙**,中央音乐学院,北京
东**,中央美术学院,北京
欧**,中央戏剧学院,北京
殳**,北京电影学院,北京
沃**,中国传媒大学,北京
利**,北京舞蹈学院,北京
蔚**,北京林业大学,北京
越**,北京中医药大学,北京
夔**,北京协和医学院,北京
隆**,首都医科大学,北京
师**,北京科技大学,北京
巩**,北京化工大学,北京
厍**,北京邮电大学,北京
聂**,中国地质大学（北京）,北京
晁**,中国矿业大学（北京）,北京
勾**,中国石油大学（北京）,北京
敖**,中国农业大学,北京
融**,北京林业大学,北京
冷**,北京体育大学,北京
訾**,中央音乐学院,北京
辛**,中央美术学院,北京
阚**,中央戏剧学院,北京
那**,北京电影学院,北京
简**,中国传媒大学,北京
饶**,北京舞蹈学院,北京
空**,北京林业大学,北京
曾**,北京中医药大学,北京
毋**,北京协和医学院,北京
沙**,首都医科大学,北京
乜**,北京科技大学,北京
养**,北京化工大学,北京
鞠**,北京邮电大学,北京
须**,中国地质大学（北京）,北京
丰**,中国矿业大学（北京）,北京
巢**,中国石油大学（北京）,北京
关**,中国农业大学,北京
蒯**,北京林业大学,北京
相**,北京体育大学,北京
查**,中央音乐学院,北京
后**,中央美术学院,北京
荆**,中央戏剧学院,北京
红**,北京电影学院,北京
游**,中国传媒大学,北京
竺**,北京舞蹈学院,北京
权**,北京林业大学,北京
逯**,北京中医药大学,北京
盖**,北京协和医学院,北京
益**,首都医科大学,北京
桓**,北京科技大学,北京
公**,北京化工大学,北京
万俟**,北京邮电大学,北京
司马**,中国地质大学（北京）,北京
上官**,中国矿业大学（北京）,北京
欧阳**,中国石油大学（北京）,北京
夏侯**,中国农业大学,北京
诸葛**,北京林业大学,北京
闻人**,北京体育大学,北京
东方**,中央音乐学院,北京
赫连**,中央美术学院,北京
皇甫**,中央戏剧学院,北京
尉迟**,北京电影学院,北京
公羊**,中国传媒大学,北京
澹台**,北京舞蹈学院,北京
公冶**,北京林业大学,北京
宗政**,北京中医药大学,北京
濮阳**,北京协和医学院,北京
淳于**,首都医科大学,北京
单于**,北京科技大学,北京
太叔**,北京化工大学,北京
申屠**,北京邮电大学,北京
公孙**,中国地质大学（北京）,北京
仲孙**,中国矿业大学（北京）,北京
轩辕**,中国石油大学（北京）,北京
令狐**,中国农业大学,北京
钟离**,北京林业大学,北京
宇文**,北京体育大学,北京
长孙**,中央音乐学院,北京
慕容**,中央美术学院,北京
鲜于**,中央戏剧学院,北京
闾丘**,北京电影学院,北京
司徒**,中国传媒大学,北京
司空**,北京舞蹈学院,北京
亓官**,北京林业大学,北京
司寇**,北京中医药大学,北京
仉**,北京协和医学院,北京
督**,首都医科大学,北京
子车**,北京科技大学,北京
颛孙**,北京化工大学,北京
端木**,北京邮电大学,北京
巫马**,中国地质大学（北京）,北京
公西**,中国矿业大学（北京）,北京
漆雕**,中国石油大学（北京）,北京
乐正**,中国农业大学,北京
壤驷**,北京林业大学,北京
公良**,北京体育大学,北京
拓跋**,中央音乐学院,北京
夹谷**,中央美术学院,北京
宰父**,中央戏剧学院,北京
谷梁**,北京电影学院,北京
晋**,中国传媒大学,北京
楚**,北京舞蹈学院,北京
闫**,北京林业大学,北京
法**,北京中医药大学,北京
汝**,北京协和医学院,北京
鄢**,首都医科大学,北京
涂**,北京科技大学,北京
钦**,北京化工大学,北京
段干**,北京邮电大学,北京
百里**,中国地质大学（北京）,北京
东郭**,中国矿业大学（北京）,北京
南门**,中国石油大学（北京）,北京
呼延**,中国农业大学,北京
归**,北京林业大学,北京
海**,北京体育大学,北京
羊舌**,中央音乐学院,北京
微生**,中央美术学院,北京
岳**,中央戏剧学院,北京
帅**,北京电影学院,北京
缑**,中国传媒大学,北京
亢**,北京舞蹈学院,北京
况**,北京林业大学,北京
後**,北京中医药大学,北京
有**,北京协和医学院,北京
琴**,首都医科大学,北京
梁丘**,北京科技大学,北京
左丘**,北京化工大学,北京
东门**,北京邮电大学,北京
西门**,中国地质大学（北京）,北京
商**,中国矿业大学（北京）,北京
牟**,中国石油大学（北京）,北京
佘**,中国农业大学,北京
佴**,北京林业大学,北京
伯**,北京体育大学,北京
赏**,中央音乐学院,北京
南宫**,中央美术学院,北京
墨**,中央戏剧学院,北京
哈**,北京电影学院,北京
谯**,中国传媒大学,北京
笪**,北京舞蹈学院,北京
年**,北京林业大学,北京
爱**,北京中医药大学,北京
阳**,北京协和医学院,北京
佟**,首都医科大学,北京
第五**,北京科技大学,北京
言**,北京化工大学,北京
福**,北京邮电大学,北京
